tanggal,pm10,pm25,so2,co,o3,no2,max,critical,categori,location
2021-07-01,64,114,53,14,48,31,114,PM25,TIDAK SEHAT,DKI4
2021-07-02,68,108,56,23,40,51,108,PM25,TIDAK SEHAT,DKI4
2021-07-03,80,141,54,13,44,27,141,PM25,TIDAK SEHAT,DKI4
2021-07-04,94,161,51,15,50,25,161,PM25,TIDAK SEHAT,DKI4
2021-07-05,83,153,56,13,62,26,153,PM25,TIDAK SEHAT,DKI4
2021-07-06,68,102,51,10,55,29,102,PM25,TIDAK SEHAT,DKI3
2021-07-07,84,130,54,12,51,27,130,PM25,TIDAK SEHAT,DKI4
2021-07-08,83,145,56,11,50,26,145,PM25,TIDAK SEHAT,DKI4
2021-07-09,92,156,59,11,56,26,156,PM25,TIDAK SEHAT,DKI4
2021-07-10,78,132,54,10,63,23,132,PM25,TIDAK SEHAT,DKI4
2021-07-11,66,119,54,10,54,17,119,PM25,TIDAK SEHAT,DKI4
2021-07-12,64,59,52,9,44,14,64,PM10,SEDANG,DKI2
2021-07-13,78,119,54,11,43,26,119,PM25,TIDAK SEHAT,DKI2
2021-07-14,66,116,51,13,50,26,116,PM25,TIDAK SEHAT,DKI4
2021-07-15,95,174,62,15,56,30,174,PM25,TIDAK SEHAT,DKI4
2021-07-16,85,138,53,11,53,29,138,PM25,TIDAK SEHAT,DKI4
2021-07-17,74,134,55,10,58,20,134,PM25,TIDAK SEHAT,DKI4
2021-07-18,82,150,55,13,58,27,150,PM25,TIDAK SEHAT,DKI4
2021-07-19,80,140,51,11,77,28,140,PM25,TIDAK SEHAT,DKI4
2021-07-20,86,147,51,15,60,24,147,PM25,TIDAK SEHAT,DKI4
2021-07-21,55,102,52,9,58,19,102,PM25,TIDAK SEHAT,DKI4
2021-07-22,60,110,53,11,54,27,110,PM25,TIDAK SEHAT,DKI4
2021-07-23,63,104,52,10,59,28,104,PM25,TIDAK SEHAT,DKI4
2021-07-24,66,104,54,13,51,34,104,PM25,TIDAK SEHAT,DKI4
2021-07-25,81,148,55,24,54,42,148,PM25,TIDAK SEHAT,DKI4
2021-07-26,79,131,54,16,46,32,131,PM25,TIDAK SEHAT,DKI4
2021-07-27,82,140,56,13,41,35,140,PM25,TIDAK SEHAT,DKI4
2021-07-28,82,145,53,18,40,45,145,PM25,TIDAK SEHAT,DKI4
2021-07-29,78,140,52,18,53,39,140,PM25,TIDAK SEHAT,DKI5
2021-07-30,90,154,54,15,81,35,154,PM25,TIDAK SEHAT,DKI4
2021-07-31,63,100,50,18,65,29,100,PM26,SEDANG,DKI4
