tanggal,pm10,pm25,so2,co,o3,no2,max,critical,categori,location
2021-03-01,62,97,45,13,38,18,97,PM25,SEDANG,DKI3
2021-03-02,55,81,50,17,53,28,81,PM25,SEDANG,DKI4
2021-03-03,59,83,46,21,50,35,83,PM25,SEDANG,DKI3
2021-03-04,62,103,45,19,49,31,103,PM25,TIDAK SEHAT,DKI4
2021-03-05,65,81,54,16,59,30,81,PM25,SEDANG,DKI2
2021-03-06,71,95,59,25,52,42,95,PM25,SEDANG,DKI4
2021-03-07,64,103,41,23,51,31,103,PM25,TIDAK SEHAT,DKI5
2021-03-08,58,81,40,16,41,22,81,PM25,SEDANG,DKI4
2021-03-09,51,63,41,15,33,22,63,PM25,SEDANG,DKI3
2021-03-10,60,91,42,21,42,39,91,PM25,SEDANG,DKI5
2021-03-11,38,53,39,9,43,21,53,PM25,SEDANG,DKI4
2021-03-12,66,99,41,19,45,25,99,PM25,SEDANG,DKI3
2021-03-13,53,72,41,13,41,25,72,PM25,SEDANG,DKI3
2021-03-14,52,73,41,16,37,21,73,PM25,SEDANG,DKI3
2021-03-15,55,92,42,18,49,34,92,PM25,SEDANG,DKI5
2021-03-16,67,101,46,13,57,36,101,PM25,TIDAK SEHAT,DKI4
2021-03-17,78,123,55,20,53,45,123,PM25,TIDAK SEHAT,DKI4
2021-03-18,78,125,45,16,74,40,125,PM25,TIDAK SEHAT,DKI4
2021-03-19,73,96,42,14,59,35,96,PM25,SEDANG,DKI5
2021-03-20,65,106,44,16,56,31,106,PM25,TIDAK SEHAT,DKI3
2021-03-21,81,118,41,16,51,17,118,PM25,TIDAK SEHAT,DKI3
2021-03-22,62,93,41,15,43,18,93,PM25,SEDANG,DKI3
2021-03-23,51,77,41,11,44,16,77,PM25,SEDANG,DKI3
2021-03-24,43,64,40,11,37,15,64,PM25,SEDANG,DKI3
2021-03-25,38,68,41,9,41,17,68,PM25,SEDANG,DKI4
2021-03-26,57,83,42,19,53,28,83,PM25,SEDANG,DKI4
2021-03-27,62,91,49,13,63,33,91,PM25,SEDANG,DKI4
2021-03-28,57,78,43,15,71,31,78,PM25,SEDANG,DKI5
2021-03-29,65,91,48,19,67,37,91,PM25,SEDANG,DKI5
2021-03-30,59,76,42,15,55,30,76,PM25,SEDANG,DKI4
2021-03-31,56,69,43,18,48,25,69,PM25,SEDANG,DKI4
