tanggal,pm10,pm25,so2,co,o3,no2,max,critical,categori,location
2021-05-01,66,102,51,15,57,33,102,PM25,TIDAK SEHAT,DKI3
2021-05-02,55,89,47,13,53,17,89,PM25,SEDANG,DKI4
2021-05-03,61,95,50,10,51,20,95,PM25,SEDANG,DKI4
2021-05-04,74,113,54,18,39,26,113,PM25,TIDAK SEHAT,DKI4
2021-05-05,73,117,53,20,45,38,117,PM25,TIDAK SEHAT,DKI4
2021-05-06,57,77,53,16,66,38,77,PM25,SEDANG,DKI4
2021-05-07,67,83,61,26,151,45,151,O3,TIDAK SEHAT,DKI3
2021-05-08,60,87,53,12,71,28,87,PM25,SEDANG,DKI4
2021-05-09,46,66,46,9,61,21,66,PM25,SEDANG,DKI4
2021-05-10,55,76,51,10,66,21,76,PM25,SEDANG,DKI3
2021-05-11,69,102,50,12,57,24,102,PM25,TIDAK SEHAT,DKI4
2021-05-12,67,105,52,10,63,21,105,PM25,TIDAK SEHAT,DKI4
2021-05-13,81,115,49,14,48,20,115,PM25,TIDAK SEHAT,DKI5
2021-05-14,56,81,51,9,52,14,81,PM25,SEDANG,DKI5
2021-05-15,62,89,54,11,40,19,89,PM25,SEDANG,DKI4
2021-05-16,54,92,50,9,52,16,92,PM25,SEDANG,DKI4
2021-05-17,54,75,55,11,51,24,75,PM25,SEDANG,DKI5
2021-05-18,41,58,48,10,49,26,58,PM25,SEDANG,DKI3
2021-05-19,61,99,52,17,55,36,99,PM25,SEDANG,DKI4
2021-05-20,66,103,53,12,56,27,103,PM25,TIDAK SEHAT,DKI4
2021-05-21,60,95,58,15,65,34,95,PM25,SEDANG,DKI4
2021-05-22,64,90,62,16,66,36,90,PM25,SEDANG,DKI2
2021-05-23,73,109,64,31,57,40,109,PM25,TIDAK SEHAT,DKI5
2021-05-24,86,118,74,26,72,38,118,PM25,TIDAK SEHAT,DKI4
2021-05-25,56,70,52,15,66,35,70,PM25,SEDANG,DKI5
2021-05-26,62,93,52,12,64,24,93,PM25,SEDANG,DKI4
2021-05-27,60,79,52,10,62,20,79,PM25,SEDANG,DKI4
2021-05-28,66,93,53,12,63,24,93,PM25,SEDANG,DKI4
2021-05-29,60,91,46,14,66,32,91,PM25,SEDANG,DKI4
2021-05-30,53,72,55,17,51,29,72,PM25,SEDANG,DKI4
2021-05-31,62,93,49,20,71,37,93,PM25,SEDANG,DKI4
