tanggal,pm10,pm25,so2,co,o3,no2,max,critical,categori,location
2021-06-01,73,105,50,18,64,35,105,PM25,TIDAK SEHAT,DKI3
2021-06-02,68,100,54,20,76,38,100,PM25,SEDANG,DKI4
2021-06-03,68,93,57,20,61,41,93,PM25,SEDANG,DKI2
2021-06-04,66,100,48,13,76,30,100,PM25,SEDANG,DKI4
2021-06-05,64,93,51,20,65,38,93,PM25,SEDANG,DKI4
2021-06-06,63,95,50,15,72,32,95,PM25,SEDANG,DKI3
2021-06-07,61,86,52,15,68,31,86,PM25,SEDANG,DKI4
2021-06-08,70,103,53,16,72,38,103,PM25,TIDAK SEHAT,DKI4
2021-06-09,68,108,54,14,67,34,108,PM25,TIDAK SEHAT,DKI4
2021-06-10,71,108,56,23,48,47,108,PM25,TIDAK SEHAT,DKI4
2021-06-11,65,99,51,15,61,40,99,PM25,SEDANG,DKI4
2021-06-12,67,93,54,17,57,35,93,PM25,SEDANG,DKI4
2021-06-13,55,80,52,14,58,25,80,PM25,SEDANG,DKI4
2021-06-14,69,103,53,13,58,26,103,PM25,TIDAK SEHAT,DKI4
2021-06-15,73,114,52,13,44,29,114,PM25,TIDAK SEHAT,DKI3
2021-06-16,67,97,66,25,43,55,97,PM25,SEDANG,DKI5
2021-06-17,66,102,51,28,44,41,102,PM25,TIDAK SEHAT,DKI4
2021-06-18,77,102,59,23,49,45,102,PM25,TIDAK SEHAT,DKI4
2021-06-19,64,102,59,21,41,45,102,PM25,TIDAK SEHAT,DKI4
2021-06-20,81,140,66,26,44,58,140,PM25,TIDAK SEHAT,DKI4
2021-06-21,62,90,55,16,44,35,90,PM25,SEDANG,DKI4
2021-06-22,59,84,54,16,38,35,84,PM25,SEDANG,DKI4
2021-06-23,66,107,52,17,51,43,107,PM25,TIDAK SEHAT,DKI4
2021-06-24,80,119,54,19,42,52,119,PM25,TIDAK SEHAT,DKI4
2021-06-25,85,147,58,30,40,63,147,PM25,TIDAK SEHAT,DKI4
2021-06-26,67,118,53,10,53,23,118,PM25,TIDAK SEHAT,DKI4
2021-06-27,72,134,57,22,57,41,134,PM25,TIDAK SEHAT,DKI4
2021-06-28,65,117,53,18,61,38,117,PM25,TIDAK SEHAT,DKI4
2021-06-29,75,128,52,24,51,50,128,PM25,TIDAK SEHAT,DKI5
2021-06-30,79,125,57,19,55,38,125,PM25,TIDAK SEHAT,DKI4
